(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
1,1.71058,0,0,
1,1.94862,0,1,
1,2.69604,0,0,
1,3.2991,0,1,
1,4.01825,1,1,
1,4.7085,1,1,
1,4.97713,2,1,
1,6.6048,2,1,
1,7.36944,2,1,
1,9.4887,0,1,
1,9.56925,1,1,
1,9.5743,2,1,
1,9.72934,3,1,
1,10.8133,4,1,
1,11.2126,5,1,
1,12.8316,6,1,
1,12.8924,7,1,
1,14.1536,8,1,
1,15.1598,9,1,
1,15.6502,10,1,
1,17.0128,9,1,
1,18.2782,9,1,
1,19.6699,9,1,
1,19.8537,10,1,
1,20.1352,11,1,
1,21.6571,11,1,
1,23.3498,8,1,
1,26.1307,9,1,
1,26.3548,10,1,
1,26.8738,9,1,
1,27.71,10,1,
1,29.3379,10,1,
1,29.4473,11,1,
1,29.5774,12,1,
1,30.3878,13,1,
1,36.3542,9,1,
1,38.9665,10,1,
1,39.8748,11,1,
1,40.0726,12,1,
1,41.6267,13,1,
1,41.7422,14,1,
1,41.7772,15,1,
1,42.4672,14,1,
1,43.8251,11,1,
1,43.842,12,1,
1,44.7039,12,1,
1,46.1844,11,1,
1,46.8594,12,1,
1,46.9706,13,1,
1,47.8044,12,1,
1,49.8894,12,1,
1,52.6973,8,1,
1,53.3447,9,1,
1,53.6885,10,1,
1,54.6257,9,1,
1,55.2691,9,1,
1,55.5659,10,1,
1,56.0958,11,1,
1,57.3083,12,1,
1,58.7807,8,1,
1,59.5858,9,1,
1,60.2714,8,1,
1,60.386,9,1,
1,61.2574,9,1,
1,62.2821,10,1,
1,65.0401,9,1,
1,66.2508,9,1,
1,66.5124,10,1,
1,66.6742,11,1,
1,70.6432,6,1,
1,71.107,7,1,
1,72.621,5,1,
1,73.4822,6,1,
1,75.4591,1,1,
1,75.4833,2,1,
1,75.4983,3,1,
1,76.9129,3,1,
1,77.9874,3,1,
1,78.095,4,1,
1,78.6782,5,1,
1,78.7868,6,1,
1,80.3201,5,1,
1,81.7382,5,1,
1,85.1846,2,1,
1,85.3384,2,1,
1,87.2597,1,1,
1,87.6187,2,1,
1,88.4241,3,1,
1,88.4655,4,1,
1,88.4924,5,1,
1,90.282,5,1,
1,90.4841,6,1,
1,90.593,7,1,
1,91.187,7,1,
1,91.9872,8,1,
1,92.5663,8,1,
1,94.1373,6,1,
1,96.3082,4,1,
1,96.7931,5,1,
1,96.9427,6,1,
1,99.5075,4,1,
1,101.495,0,1,
1,101.616,1,1,
1,101.673,2,1,
1,105.469,1,1,
1,105.975,1,1,
1,107.376,0,0,
1,107.433,0,1,
1,107.707,0,1,
1,107.722,1,1,
1,108.172,1,1,
1,108.446,2,1,
1,109.327,3,1,
1,109.992,1,1,
1,111.891,1,1,
1,115.406,0,0,
1,116.188,0,0,
1,116.316,0,1,
1,117.721,0,0,
1,118.272,0,1,
1,119.446,0,1,
1,119.817,0,0,
1,121.33,0,0,
1,123.38,0,0,
1,124.393,0,0,
1,124.464,0,1,
1,126.6,0,0,
1,127.018,0,1,
1,129.748,0,0,
1,131.02,0,1,
1,132.127,0,1,
1,133.515,0,0,
1,135.8,0,0,
1,137.74,0,0,
1,137.953,0,1,
1,140.903,0,0,
1,141.992,0,1,
1,142.542,0,1,
1,143.284,1,1,
1,143.749,2,1,
1,144.519,3,1,
1,145.196,4,1,
1,146.846,4,1,
1,147.522,3,1,
1,148.876,2,1,
1,149.236,3,1,
1,150.087,4,1,
1,153.19,2,1,
1,153.274,3,1,
1,154.905,4,1,
1,155.055,5,1,
1,155.676,6,1,
1,156.632,3,1,
1,157.322,4,1,
1,157.455,5,1,
1,158.822,5,1,
1,159.343,6,1,
1,159.38,6,1,
1,159.565,7,1,
1,159.759,8,1,
1,162.779,5,1,
1,162.88,6,1,
1,163.851,6,1,
1,164.141,7,1,
1,164.759,8,1,
1,165.922,7,1,
1,166.43,6,1,
1,167.774,6,1,
1,167.789,7,1,
1,169.849,5,1,
1,172.401,3,1,
1,177.475,0,0,
1,178.309,0,0,
1,178.466,0,1,
1,179.482,0,1,
1,180.328,0,1,
1,181.358,0,1,
1,181.72,0,1,
1,183.029,0,1,
1,183.65,0,1,
1,184.179,0,1,
1,185.212,1,1,
1,186.424,2,1,
1,186.541,3,1,
1,187.037,4,1,
1,188.995,4,1,
1,189.065,5,1,
1,189.437,6,1,
1,189.645,7,1,
1,189.921,8,1,
1,191.554,7,1,
1,193.534,8,1,
1,194.775,5,1,
1,195.887,3,1,
1,196.662,3,1,
1,196.915,4,1,
1,196.956,5,1,
1,200.126,5,1,
1,200.226,6,1,
1,200.495,7,1,
1,202.003,5,1,
1,202.745,6,1,
1,202.904,7,1,
1,204.755,7,1,
1,205.763,6,1,
1,205.772,7,1,
1,206.342,7,1,
1,206.542,8,1,
1,209.164,4,1,
1,209.202,5,1,
1,209.209,6,1,
1,209.237,7,1,
1,209.558,8,1,
1,211.244,7,1,
1,214.136,6,1,
1,214.505,7,1,
1,214.702,8,1,
1,214.797,9,1,
1,214.899,10,1,
1,214.949,11,1,
1,215.161,12,1,
1,215.954,11,1,
1,216.694,10,1,
1,217.74,11,1,
1,218.475,12,1,
1,222.106,10,1,
1,222.639,10,1,
1,222.686,11,1,
1,227.184,10,1,
1,227.917,11,1,
1,228.307,12,1,
1,228.372,13,1,
1,229.322,13,1,
1,229.769,14,1,
1,229.939,15,1,
1,230.42,15,1,
1,230.482,16,1,
1,231.327,17,1,
1,236.191,15,1,
1,237.214,16,1,
1,237.447,17,1,
1,239.026,15,1,
1,239.482,16,1,
1,241.139,17,1,
1,242.445,18,1,
1,242.948,17,1,
1,244.374,17,1,
1,244.963,17,1,
1,246.207,18,1,
1,246.503,19,1,
1,246.673,20,1,
1,247.642,19,1,
1,247.691,20,1,
1,247.711,21,1,
1,247.905,22,1,
1,248.475,20,1,
1,248.708,21,1,
1,248.745,22,1,
1,249.588,23,1,
1,251.459,22,1,
1,252.31,23,1,
1,254.319,22,1,
1,254.34,23,1,
1,254.462,24,1,
1,255.795,24,1,
1,256.479,25,1,
1,256.904,26,1,
1,260.308,23,1,
1,261.025,24,1,
1,261.166,25,1,
1,261.555,26,1,
1,261.897,27,1,
