(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
0.2,8.77822,0,0,
0.2,9.81683,0,1,
0.2,11.1246,0,1,
0.2,15.1148,0,0,
0.2,18.0658,0,0,
0.2,32.7694,0,0,
0.2,33.9989,0,0,
0.2,40.091,0,0,
0.2,41.8409,0,0,
0.2,48.8442,0,0,
0.2,52.2205,0,0,
0.2,54.3462,0,0,
0.2,61.5176,0,0,
0.2,63.3005,0,0,
0.2,64.0252,0,0,
0.2,64.0318,0,1,
0.2,77.1413,0,0,
0.2,79.3889,0,0,
0.2,83.0798,0,0,
0.2,89.1401,0,0,
0.2,90.9363,0,0,
0.2,93.4841,0,0,
0.2,107.88,0,0,
0.2,109.161,0,1,
0.2,112.535,0,0,
0.2,112.839,0,1,
0.2,117.277,0,0,
0.2,120.445,0,0,
0.2,124.182,0,0,
0.2,129.447,0,0,
0.2,135.268,0,0,
0.2,137.546,0,0,
0.2,138.966,0,0,
0.2,149.614,0,0,
0.2,152.165,0,0,
0.2,156.264,0,0,
0.2,158.442,0,0,
0.2,158.63,0,1,
0.2,164.17,0,0,
0.2,170.429,0,0,
0.2,174.567,0,0,
0.2,182.597,0,0,
0.2,182.883,0,0,
0.2,191.338,0,0,
0.2,191.83,0,1,
0.2,195.031,0,1,
0.2,195.268,1,1,
0.2,198.05,1,1,
0.2,201.097,1,1,
0.2,209.158,0,0,
0.2,209.769,0,1,
0.2,210.885,0,0,
0.2,213.84,0,0,
0.2,230.87,0,0,
0.2,231.584,0,0,
0.2,232.562,0,0,
0.2,238.187,0,0,
0.2,242.334,0,0,
0.2,242.757,0,0,
0.2,244.868,0,0,
0.2,246.153,0,1,
0.2,255.671,0,0,
0.2,264.214,0,0,
0.2,268.099,0,0,
0.2,273.89,0,0,
0.2,277.718,0,0,
0.2,285.104,0,0,
0.2,286.66,0,1,
0.2,288.888,0,1,
0.2,295.785,0,0,
0.2,300.993,0,0,
0.2,311.671,0,0,
0.2,312.373,0,1,
0.2,317.234,0,0,
0.2,323.786,0,0,
0.2,338.117,0,0,
0.2,345.637,0,0,
0.2,359.581,0,0,
0.2,361.326,0,0,
0.2,374.849,0,0,
0.2,392.033,0,0,
0.2,393.74,0,0,
0.2,399.886,0,0,
0.2,409.194,0,0,
0.2,414.812,0,0,
0.2,422.001,0,0,
0.2,423.501,0,0,
0.2,427.844,0,0,
0.2,436.253,0,0,
0.2,436.684,0,1,
0.2,440.051,0,0,
0.2,440.078,0,1,
0.2,441.122,0,1,
0.2,450.331,0,0,
0.2,473.262,0,0,
0.2,480.117,0,0,
0.2,483.285,0,0,
0.2,484.545,0,1,
0.2,485.47,0,1,
0.2,493.21,0,0,
0.2,503.919,0,0,
0.2,505.683,0,1,
0.2,508.24,0,0,
0.2,510.469,0,0,
0.2,513.046,0,0,
0.2,517.394,0,0,
0.2,519.101,0,0,
0.2,521.674,0,0,
0.2,532.757,0,0,
0.2,539.3,0,0,
0.2,542.817,0,0,
0.2,542.918,0,1,
0.2,544.652,0,0,
0.2,544.963,0,0,
0.2,546.726,0,0,
0.2,551.103,0,0,
0.2,554.815,0,0,
0.2,562.821,0,0,
0.2,567.968,0,0,
0.2,575.476,0,0,
0.2,576.37,0,0,
0.2,580.643,0,0,
0.2,587.098,0,0,
0.2,592.749,0,0,
0.2,595.115,0,0,
0.2,599.39,0,0,
0.2,609.751,0,0,
0.2,610.521,0,0,
0.2,620.211,0,0,
0.2,620.313,0,1,
0.2,627.879,0,0,
0.2,636.772,0,0,
0.2,645.242,0,0,
0.2,649.723,0,0,
0.2,664.301,0,0,
0.2,665.089,0,0,
0.2,679.645,0,0,
0.2,697.84,0,0,
0.2,699.366,0,0,
0.2,700.596,0,0,
0.2,701.895,0,1,
0.2,746.949,0,0,
0.2,747.39,0,0,
0.2,754.563,0,0,
0.2,759.764,0,0,
0.2,761.552,0,0,
0.2,767.67,0,0,
0.2,775.824,0,0,
0.2,782.754,0,0,
0.2,789.978,0,0,
0.2,790.55,0,1,
0.2,793.887,1,1,
0.2,795.612,0,0,
0.2,797.297,0,0,
0.2,799.409,0,0,
0.2,803.625,0,0,
0.2,808.7,0,0,
0.2,810.731,0,0,
0.2,818.827,0,0,
0.2,825.532,0,0,
0.2,833.4,0,0,
0.2,833.452,0,1,
0.2,841.431,0,0,
0.2,852.169,0,0,
0.2,857.39,0,0,
0.2,863.8,0,0,
0.2,865.531,0,0,
0.2,866.526,0,1,
0.2,866.725,1,1,
0.2,876.009,0,0,
0.2,878.357,0,0,
0.2,888.843,0,0,
0.2,891.486,0,0,
0.2,895.272,0,0,
