(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
0.2,8.77822,0,0,
0.2,17.509,0,0,
0.2,22.5667,0,0,
0.2,22.5723,0,1,
0.2,24.9604,0,0,
0.2,34.1691,0,0,
0.2,38.4726,0,0,
0.2,43.4839,0,0,
0.2,48.7463,0,0,
0.2,60.3918,0,0,
0.2,60.488,0,1,
0.2,73.5246,0,0,
0.2,86.2173,0,0,
0.2,94.4728,0,0,
0.2,98.4905,0,0,
0.2,100.637,0,0,
0.2,108.081,0,0,
0.2,108.553,0,1,
0.2,124.608,0,0,
0.2,125.035,0,1,
0.2,127.423,0,0,
0.2,127.964,0,1,
0.2,131.427,0,0,
0.2,132.549,0,1,
0.2,141.881,0,0,
0.2,145.224,0,0,
0.2,145.236,0,1,
0.2,152.809,0,0,
0.2,155.244,0,0,
0.2,155.317,0,1,
0.2,158.265,0,0,
0.2,158.76,0,0,
0.2,165.23,0,0,
0.2,173.157,0,0,
0.2,174.125,0,0,
0.2,174.387,0,1,
0.2,183.247,0,0,
0.2,193.546,0,0,
0.2,197.816,0,0,
0.2,211.853,0,0,
0.2,213.467,0,0,
0.2,214.502,0,1,
0.2,217.052,0,0,
0.2,221.585,0,0,
0.2,225.416,0,0,
0.2,237.784,0,0,
0.2,242.475,0,0,
0.2,246.243,0,0,
0.2,248.171,0,1,
0.2,248.728,0,0,
0.2,252.627,0,0,
0.2,261.271,0,0,
0.2,263.853,0,0,
0.2,264.791,0,0,
0.2,269.551,0,0,
0.2,272.197,0,0,
0.2,290.804,0,0,
0.2,294.728,0,0,
0.2,298.835,0,0,
0.2,305.461,0,0,
0.2,309.094,0,1,
0.2,309.552,1,1,
0.2,311.535,1,1,
0.2,330.681,0,0,
0.2,330.88,0,0,
0.2,331.436,0,1,
0.2,344.332,0,0,
0.2,346.915,0,0,
0.2,353.149,0,0,
0.2,357.87,0,0,
0.2,370.702,0,0,
0.2,372.283,0,0,
0.2,382.044,0,0,
0.2,387.969,0,0,
0.2,389.389,0,0,
0.2,398.743,0,0,
0.2,400.666,0,0,
0.2,406.059,0,0,
0.2,408.446,0,0,
0.2,445.454,0,0,
0.2,446.625,0,0,
0.2,467.052,0,0,
0.2,473.904,0,0,
0.2,485.202,0,0,
0.2,485.352,0,1,
0.2,489.853,0,0,
0.2,499.781,0,0,
0.2,501.352,0,0,
0.2,502.286,0,0,
0.2,504.586,0,0,
0.2,508.267,0,0,
0.2,508.682,0,1,
0.2,510.429,0,0,
0.2,522.855,0,0,
0.2,524.978,0,0,
0.2,528.795,0,0,
0.2,564.49,0,0,
0.2,573.902,0,0,
0.2,580.43,0,0,
0.2,583.834,0,0,
0.2,588.546,0,0,
0.2,590.596,0,0,
0.2,591.335,0,1,
0.2,596.01,0,0,
0.2,596.032,0,1,
0.2,603.729,0,0,
0.2,611.718,0,0,
0.2,617.37,0,0,
0.2,621.564,0,0,
0.2,627.504,0,0,
0.2,634.513,0,0,
0.2,641.595,0,0,
0.2,644.348,0,0,
0.2,646.276,0,0,
0.2,648.07,0,0,
0.2,651.406,0,0,
0.2,655.441,0,0,
0.2,663.92,0,0,
0.2,671.868,0,0,
0.2,672.681,0,0,
0.2,674.434,0,0,
0.2,675.423,0,0,
0.2,684.474,0,0,
0.2,702.71,0,0,
0.2,703.904,0,1,
0.2,705.168,1,1,
0.2,706.199,1,1,
0.2,714.877,0,0,
0.2,716.946,0,1,
0.2,718.338,0,1,
0.2,734.661,0,0,
0.2,736.149,0,0,
0.2,744.277,0,0,
0.2,753.073,0,0,
0.2,754.385,0,0,
0.2,754.386,0,1,
0.2,759.128,0,0,
0.2,765.953,0,0,
0.2,772.7,0,0,
0.2,775.252,0,0,
0.2,775.646,0,0,
0.2,776.612,0,0,
0.2,777.25,0,1,
0.2,795.302,0,0,
0.2,798.257,0,1,
0.2,801.808,0,0,
0.2,803.479,0,0,
0.2,805.134,0,0,
0.2,805.92,0,1,
0.2,814.418,0,0,
0.2,815.396,0,1,
