(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
1,1.71058,0,0,
1,2.31621,0,1,
1,2.54251,1,1,
1,2.96104,2,1,
1,3.76065,1,1,
1,3.92223,2,1,
1,4.53747,3,1,
1,4.90805,1,1,
1,6.6295,0,0,
1,8.14262,0,0,
1,9.49669,0,0,
1,10.3597,0,0,
1,12.0272,0,0,
1,13.4205,0,0,
1,13.6216,0,0,
1,14.269,0,0,
1,15.1776,0,0,
1,15.4928,0,1,
1,18.9673,0,0,
1,19.8867,0,0,
1,20.3584,0,1,
1,25.7186,0,0,
1,27.2124,0,0,
1,27.7579,0,0,
1,28.8182,0,0,
1,28.8813,0,1,
1,29.639,1,1,
1,31.0784,0,1,
1,33.6047,0,0,
1,37.6492,0,0,
1,39.6721,0,0,
1,40.3829,0,1,
1,40.9778,1,1,
1,41.0976,2,1,
1,41.9117,1,1,
1,42.2418,1,1,
1,42.9638,1,1,
1,46.3571,0,0,
1,46.9798,0,1,
1,47.2686,0,1,
1,47.4963,1,1,
1,48.2232,2,1,
1,49.0817,2,1,
1,49.2647,3,1,
1,50.7511,3,1,
1,50.7772,4,1,
1,51.1159,5,1,
1,54.5768,1,1,
1,59.4686,0,0,
1,60.1655,0,0,
1,60.3512,0,1,
1,61.4898,0,0,
1,61.613,0,1,
1,61.919,1,1,
1,62.048,2,1,
1,62.5484,2,1,
1,63.937,3,1,
1,63.9389,4,1,
1,65.9988,4,1,
1,66.1255,4,1,
1,67.2415,3,1,
1,67.5943,4,1,
1,67.8629,5,1,
1,68.8486,6,1,
1,68.9578,7,1,
1,70.008,7,1,
1,71.6099,6,1,
1,71.8641,6,1,
1,72.225,7,1,
1,73.0602,7,1,
1,73.0823,8,1,
1,73.3463,9,1,
1,74.0355,10,1,
1,74.1877,11,1,
1,74.854,12,1,
1,80.4472,8,1,
1,81.1815,8,1,
1,81.3176,9,1,
1,81.671,10,1,
1,81.8297,11,1,
1,83.1074,8,1,
1,83.1695,9,1,
1,83.3306,10,1,
1,83.6463,11,1,
1,83.9803,12,1,
1,84.1444,12,1,
