(arrivalMean_ / departureMean_),item->arrivalTime_,queue_->length(),status_,
1,0.309162,0,0,
1,0.654303,0,1,
1,1.06521,1,1,
1,1.91701,0,0,
1,2.58078,0,0,
1,3.25078,0,1,
1,3.48801,1,1,
1,4.04667,0,1,
1,4.77868,0,1,
1,5.37241,1,1,
1,7.1928,0,1,
1,7.66512,0,1,
1,8.99283,0,1,
1,9.1233,1,1,
1,12.1604,1,1,
1,15.1917,0,0,
1,15.6457,0,0,
1,16.0549,0,0,
1,16.6364,0,1,
1,17.2742,1,1,
1,18.851,2,1,
1,18.9558,3,1,
1,19.6784,3,1,
1,20.474,4,1,
1,21.8736,3,1,
1,25.7211,0,0,
1,31.2585,0,0,
1,31.6753,0,1,
1,32.3885,0,1,
1,32.7034,0,0,
1,33.4733,0,1,
1,34.0938,1,1,
1,35.5203,0,1,
1,36.2206,0,1,
1,36.3911,1,1,
1,39.0862,0,0,
1,40.8387,0,1,
1,40.902,1,1,
1,41.1499,2,1,
1,41.3819,3,1,
1,41.6691,3,1,
1,42.4873,3,1,
1,42.7768,4,1,
1,43.5328,5,1,
1,43.9236,6,1,
1,44.5977,7,1,
1,44.8356,8,1,
1,45.2939,9,1,
1,46.257,10,1,
1,47.6232,10,1,
1,48.1598,9,1,
1,50.8454,9,1,
1,51.6387,10,1,
1,51.9027,11,1,
1,53.0491,9,1,
1,53.1925,10,1,
1,53.6882,11,1,
1,53.9131,12,1,
1,54.3824,13,1,
1,54.4263,14,1,
1,54.9105,14,1,
1,56.3309,14,1,
1,60.2951,10,1,
1,62.992,7,1,
1,63.661,7,1,
1,64.4739,8,1,
1,65.752,6,1,
1,65.8104,7,1,
1,68.4029,6,1,
1,68.4762,7,1,
1,71.3668,6,1,
1,72.8869,7,1,
1,74.5487,8,1,
1,75.2998,7,1,
1,78.2245,6,1,
1,81.1317,3,1,
1,81.3753,4,1,
1,81.6899,5,1,
1,83.4976,5,1,
1,83.9803,6,1,
1,84.9446,6,1,
1,85.21,7,1,
1,86.2581,4,1,
1,86.5886,5,1,
1,87.5096,5,1,
1,89.7264,3,1,
1,92.5777,2,1,
1,93.7338,1,1,
1,93.9958,2,1,
1,94.2183,2,1,
1,95.6816,1,1,
1,96.9554,1,1,
1,99.7546,0,0,
1,99.89,0,1,
1,100.054,0,0,
1,100.803,0,0,
1,101.16,0,1,
1,101.16,1,1,
1,101.296,2,1,
1,102.107,3,1,
1,102.265,3,1,
1,103.402,4,1,
1,104.099,4,1,
1,106.441,4,1,
1,108.179,5,1,
1,108.849,5,1,
1,109.224,6,1,
1,109.847,6,1,
1,111.017,6,1,
1,112.051,6,1,
1,114.425,5,1,
1,114.957,6,1,
1,115.622,7,1,
1,116.91,8,1,
1,118.053,7,1,
1,118.066,8,1,
1,119.294,9,1,
1,119.85,10,1,
1,120.923,9,1,
1,122.147,7,1,
1,123.724,6,1,
1,124.417,5,1,
1,124.44,6,1,
1,125.041,7,1,
1,125.243,8,1,
1,126.387,9,1,
1,126.505,10,1,
1,128.396,10,1,
1,128.891,10,1,
1,130.129,11,1,
1,130.403,11,1,
1,130.681,11,1,
1,131.212,12,1,
1,131.258,13,1,
1,132.243,14,1,
1,133.678,14,1,
1,137.673,11,1,
1,138.106,11,1,
1,138.284,11,1,
1,138.945,10,1,
1,139.718,11,1,
1,139.805,12,1,
1,139.948,13,1,
1,140.551,14,1,
1,142.967,10,1,
1,144.737,11,1,
1,145.675,11,1,
1,145.793,12,1,
1,147.078,12,1,
1,149.805,11,1,
1,150.408,11,1,
1,150.878,12,1,
1,151.675,13,1,
1,152.376,14,1,
1,153.102,15,1,
1,153.519,15,1,
1,154.132,13,1,
1,155.278,14,1,
1,157.856,13,1,
1,157.937,14,1,
1,158.218,15,1,
1,158.455,16,1,
1,159.447,14,1,
1,159.626,15,1,
1,161.557,14,1,
1,162.089,14,1,
1,162.729,13,1,
1,164.544,13,1,
1,165.081,14,1,
1,165.112,15,1,
1,165.74,16,1,
1,165.831,17,1,
1,167.126,18,1,
1,168.041,19,1,
1,169.408,18,1,
1,170.054,19,1,
1,170.615,20,1,
1,171.223,20,1,
1,172.044,21,1,
1,174.708,20,1,
1,175.257,21,1,
1,175.355,22,1,
1,177.046,22,1,
1,177.175,23,1,
1,179.022,23,1,
1,180.063,22,1,
1,181.154,23,1,
1,182.564,20,1,
1,182.863,20,1,
1,183.089,21,1,
1,184.586,22,1,
1,185.693,22,1,
1,186.329,21,1,
1,186.88,22,1,
1,187.304,22,1,
1,187.379,23,1,
1,187.51,24,1,
1,188.342,22,1,
1,189.363,23,1,
1,189.509,24,1,
1,189.529,25,1,
1,191.455,21,1,
1,192.645,20,1,
1,193.031,21,1,
1,193.916,22,1,
1,194.476,23,1,
1,195.139,23,1,
1,195.523,24,1,
1,198.997,22,1,
1,199.136,23,1,
1,200.428,22,1,
1,201.88,22,1,
1,202.058,23,1,
1,205.13,24,1,
1,205.194,25,1,
1,206.014,25,1,
1,206.332,25,1,
1,206.806,25,1,
1,208.405,26,1,
1,209.436,26,1,
1,210.258,27,1,
1,210.454,28,1,
1,211.432,26,1,
1,211.796,27,1,
1,212.476,27,1,
1,212.624,28,1,
1,213.404,28,1,
1,214.682,28,1,
1,216.102,29,1,
1,216.126,30,1,
1,218.284,30,1,
1,219.603,27,1,
1,221.626,27,1,
1,221.725,28,1,
1,223.41,29,1,
1,223.462,30,1,
1,224.601,31,1,
1,225.744,32,1,
1,230.321,28,1,
1,231.383,26,1,
1,232.736,26,1,
1,233.684,26,1,
1,234.748,27,1,
1,234.789,28,1,
1,235.735,29,1,
1,236.605,29,1,
1,238.838,26,1,
1,239.845,25,1,
1,240.157,26,1,
1,240.445,27,1,
1,241.515,27,1,
1,243.438,26,1,
1,244.697,25,1,
1,245.374,25,1,
1,246.77,26,1,
1,247.706,24,1,
1,249.604,23,1,
1,249.739,24,1,
1,252.684,22,1,
1,253.389,23,1,
1,253.88,23,1,
1,254.147,24,1,
1,254.171,25,1,
1,254.54,26,1,
1,255.244,26,1,
1,256.505,23,1,
1,258.908,21,1,
1,262.744,19,1,
1,264.119,20,1,
1,264.745,21,1,
1,266.608,20,1,
1,268.143,21,1,
1,269.451,21,1,
1,270.114,22,1,
1,270.837,23,1,
1,271.761,24,1,
1,273.197,23,1,
1,274.381,24,1,
1,274.924,24,1,
1,275.63,25,1,
1,277.136,23,1,
1,279.14,19,1,
1,280.393,19,1,
1,280.86,18,1,
1,281.492,17,1,
1,281.788,18,1,
1,282.319,18,1,
1,287.403,16,1,
1,288.254,16,1,
1,289.401,15,1,
1,292.64,11,1,
1,292.801,11,1,
1,293.196,12,1,
1,293.83,13,1,
1,294.594,12,1,
1,299.879,8,1,
1,299.936,9,1,
1,300.148,10,1,
1,302.874,10,1,
1,304.092,10,1,
1,304.102,11,1,
1,305.595,11,1,
1,307.302,12,1,
1,308.945,13,1,
1,309.8,14,1,
1,311.454,13,1,
1,312.017,14,1,
1,313.663,14,1,
1,314.714,15,1,
1,315.85,13,1,
1,315.941,14,1,
1,316.943,14,1,
1,317.153,15,1,
1,319.144,15,1,
1,319.633,16,1,
1,319.831,17,1,
1,319.853,18,1,
1,319.929,19,1,
1,322.142,20,1,
1,322.738,21,1,
1,322.899,22,1,
1,324.909,21,1,
1,325.904,21,1,
1,326.763,22,1,
1,327.202,23,1,
1,327.246,24,1,
1,327.921,24,1,
1,328.861,25,1,
1,330.967,24,1,
1,331.747,25,1,
1,331.942,26,1,
1,336.29,24,1,
1,337.759,25,1,
1,338.143,26,1,
